location,total_sqft,bath,price,bhk
Dodda Nekkundi,1264,2,52,2
Doddaballapur,1690,3,80,4
Doddaballapur,4200,4,325,4
Doddaballapur,3876,3,300,3
Doddaballapur,2776,4,195,3
Doddaballapur,2440,3,142,3
Doddaballapur,2400,3,200,4
Doddaballapur,654,1,49,1
Doddaballapur,3206,5,270,4
Doddakallasandra,1010,2,40.39,2
Doddakallasandra,1360,2,54.39,3
Doddakallasandra,1460,2,58.39,3
Doddakallasandra,1360,2,54.4,3
Doddakallasandra,1425,2,56.99,3
Doddakallasandra,1010,2,40.39,2
Doddakallasandra,1072,2,42.87,2
Doddakallasandra,1010,2,40.4,2
Doddakallasandra,1010,2,41,2
Doddakallasandra,1072,2,42.87,2
Doddathoguru,970,2,33,2
Doddathoguru,1050,2,32,2
Doddathoguru,850,2,25,2
Doddathoguru,1030,2,42,2
Doddathoguru,1549,3,65,3
Doddathoguru,1875,3,55,3
Doddathoguru,550,1,17,1
Doddathoguru,1015,2,33.5,2
Doddathoguru,1104,2,39,2
Doddathoguru,915,2,32,2
Doddathoguru,750,1,25.5,1
Doddathoguru,1595,3,62,3
Doddathoguru,855,2,32,2
Doddathoguru,1105,2,50,2
Doddathoguru,925,2,30,2
Doddathoguru,1300,2,42,3
Doddathoguru,1208,3,45,3
Doddathoguru,1100,2,50,2
Doddathoguru,940,2,32.9,2
Doddathoguru,1382,3,65,3
Doddathoguru,1107,2,44,2
Doddathoguru,907,2,40,2
Doddathoguru,1783,3,85,3
Doddathoguru,550,1,17,1
Domlur,1540,3,90,3
Domlur,1875,2,150,3
Domlur,1429,3,86,3
Domlur,640,1,55,1
Domlur,1050,2,85,2
Domlur,1800,3,150,3
Domlur,1720,3,135,3
Domlur,1950,3,165,3
Domlur,2180,3,285,3
Domlur,650,1,70,1
Domlur,780,1,70,1
Domlur,2180,3,285,3
Domlur,1740,3,120,3
Domlur,1695,3,125,3
Domlur,1246,2,95,2
Domlur,2100,3,145,3
Domlur,1276,2,80,2
Domlur,1850,3,180,3
Domlur,2955,3,235,3
Domlur,1650,3,180,3
Dommasandra,805,2,22.14,2
Dommasandra,1033,2,25.53,3
Dommasandra,1267,3,56,3
Dommasandra,1200,2,50,2
Dommasandra,2700,3,68,4
Dommasandra,1033,2,31.5,3
Dommasandra,1153,2,43.5,2
Dommasandra,1500,2,40,2
Dommasandra,1090,2,43.5,2
Dommasandra,850,2,25.4,2
Dommasandra,674,1,19.9,2
Dommasandra,999,2,32.9,2
EPIP Zone,1499,5,102,3
EPIP Zone,1285,2,82,2
EPIP Zone,2330,3,162,3
EPIP Zone,1330,2,92.5,2
EPIP Zone,1330,2,86.98,2
EPIP Zone,1330,2,93.36,2
EPIP Zone,3035,5,200,4
EPIP Zone,1500,3,102,3
EPIP Zone,1280,2,69,2
EPIP Zone,1125,2,65,2
EPIP Zone,1734,3,125,3
EPIP Zone,3360,5,225,4
EPIP Zone,1343,2,86,2
EPIP Zone,2350,4,163,3
EPIP Zone,1860,3,130,3
EPIP Zone,2210,3,165,3
EPIP Zone,2710,3,177,3
EPIP Zone,3360,5,221,4
Electronic City,660,1,23.1,2
Electronic City,1025,2,47,3
Electronic City,1000,2,28.88,2
Electronic City,1530,2,45.9,3
Electronic City,1500,2,64.5,3
Electronic City,1060,2,60,2
Electronic City,1152,2,64.5,2
Electronic City,1350,2,56,3
Electronic City,770,1,36,2
Electronic City,1070,2,52,2
Electronic City,1025,2,46,2
Electronic City,589,1,27,1
Electronic City,1100,2,42,2
Electronic City,910,2,40,2
Electronic City,1108,2,63,2
Electronic City,1128,2,65,2
Electronic City,1800,3,95,3
Electronic City,630,1,34.65,1
Electronic City,1128,2,63,2
Electronic City,1599,3,99,3
Electronic City,1125,2,32.49,2
Electronic City,1094,2,42,2
Electronic City,1070,2,55,2
Electronic City,940,2,41,2
Electronic City,1320,2,38.13,3
Electronic City,1128,2,68.75,2
Electronic City,1342,2,73.3,2
Electronic City,1360,2,71,3
Electronic City,880,2,29,2
Electronic City,1265,2,56.93,2
Electronic City,1691,2,102,3
Electronic City,1128,2,65.49,2
Electronic City,1620,3,62,3
Electronic City,710,2,16,2
Electronic City,1070,2,56.1,2
Electronic City,2000,4,120,4
Electronic City,890,2,45,2
Electronic City,1128,2,65.65,2
Electronic City,865,2,42,2
Electronic City,1130,2,32.64,2
Electronic City,910,2,42,2
Electronic City,975,2,37.5,2
Electronic City,1360,2,75,3
Electronic City,770,1,40,2
Electronic City,1128,2,64,2
Electronic City,1070,2,54,2
Electronic City,1025,2,29.6,2
Electronic City,1571,3,89,3
Electronic City,1111,3,50,3
Electronic City,870,2,39.5,2
Electronic City,921,2,34,2
Electronic City,1374,2,72,3
Electronic City,1100,2,45,2
Electronic City,1128,2,65.35,2
Electronic City,1128,2,65,2
Electronic City,755,1,34,2
Electronic City,1220,2,35.24,3
Electronic City,4000,5,150,4
Electronic City,1100,2,40,2
Electronic City,1563,3,91.84,3
Electronic City,1652,3,70,3
Electronic City,1000,2,22,2
Electronic City,1025,2,54.5,2
Electronic City,1070,2,46,2
Electronic City,1350,3,58,3
Electronic City,1000,2,25,2
Electronic City,1020,2,29.46,2
Electronic City,1700,3,75,3
Electronic City,1400,2,48,3
Electronic City,1128,2,68,2
Electronic City,700,1,35,1
Electronic City,1360,2,70.5,3
Electronic City,1150,2,38,2
Electronic City,1571,3,105,3
Electronic City,1090,2,31.49,2
Electronic City,1089,2,45,2
Electronic City,1110,2,40,2
Electronic City,1600,3,104,3
Electronic City,1130,2,32.63,2
Electronic City,1500,2,100,3
Electronic City,1440,2,55,3
Electronic City,1156,2,44,3
Electronic City,1400,2,40.44,3
Electronic City,1152,2,65,2
Electronic City,1070,2,60,2
Electronic City,1128,2,65.5,2
Electronic City,1200,2,59,2
Electronic City,1152,2,65.75,2
Electronic City,1225,3,45.03,3
Electronic City,1070,2,55,2
Electronic City,1060,2,58,2
Electronic City,1025,2,54.1,2
Electronic City,1105,2,35,3
Electronic City,660,1,18,2
Electronic City,660,1,15,2
Electronic City,1000,2,41,2
Electronic City,1500,2,78,3
Electronic City,1213,2,59.32,2
Electronic City,1575,3,90,3
Electronic City,435,1,19.5,1
Electronic City,1449,3,100,3
Electronic City,1310,2,37.83,3
Electronic City,1125,2,58,2
Electronic City,1090,2,35.03,2
Electronic City,1575,3,101,3
Electronic City,660,1,16,2
Electronic City,550,1,12,1
Electronic City,919,2,40,2
Electronic City,1500,2,78.25,3
Electronic City,1363,2,79,2
Electronic City,1156,2,42,2
Electronic City,1020,2,29.46,2
Electronic City,1108,2,67.15,2
Electronic City,1160,2,33.5,2
Electronic City,1128,2,65.7,2
Electronic City,1170,2,33,2
Electronic City,1060,2,51,2
Electronic City,1410,2,38,3
Electronic City,1650,3,100,3
Electronic City,1020,2,29.45,2
Electronic City,1025,2,49,2
Electronic City,1000,2,29.7,2
Electronic City,1449,3,90,3
Electronic City,1065,2,30.75,2
Electronic City,1070,2,58,2
Electronic City,1210,2,54,2
Electronic City,1500,2,75,3
Electronic City,1033,2,28.41,3
Electronic City,1070,2,52,2
Electronic City,2435,4,119,4
Electronic City,660,1,15.5,2
Electronic City,1125,2,32.5,2
Electronic City,1165,2,33.64,2
Electronic City,919,2,34,2
Electronic City,1073,2,60,2
Electronic City,1500,2,78,3
Electronic City,1070,2,47,2
Electronic City,1296,2,65,2
Electronic City,1140,2,70.93,2
Electronic City,1200,2,34.65,2
Electronic City,1096,2,40.55,2
Electronic City,1017,2,27,2
Electronic City,1130,2,32.63,2
Electronic City,1110,2,39.95,2
Electronic City,2093,4,104,4
Electronic City,1025,2,53.9,2
Electronic City,940,2,54,2
Electronic City,435,1,21,1
Electronic City,1500,2,77.5,3
Electronic City,1631,3,80,3
Electronic City,1355,2,67,2
Electronic City,1200,2,34,2
Electronic City,1175,2,47,2
Electronic City,435,1,22,1
Electronic City,1500,2,63,3
Electronic City,1039,2,50,2
Electronic City,770,1,39.9,2
Electronic City,919,2,35,2
Electronic City,1128,2,64,2
Electronic City,605,1,13.31,1
Electronic City,1159,2,38,3
Electronic City,530,1,13.5,1
Electronic City,1070,2,53,2
Electronic City,1025,1,26.63,2
Electronic City,2400,2,78,3
Electronic City,1571,3,83,3
Electronic City,1470,2,44.1,3
Electronic City,1350,3,66,3
Electronic City,1652,3,110,3
Electronic City,1320,2,38.12,3
Electronic City,1090,2,31.48,2
Electronic City,1050,2,39,3
Electronic City,1128,2,65.58,2
Electronic City,635,1,28,1
Electronic City,1128,2,65.4,2
Electronic City,1096,2,39,2
Electronic City,1150,2,38,2
Electronic City,1355,2,72.9,2
Electronic City,1200,2,30,2
Electronic City,1150,2,35,2
Electronic City,1165,2,33.64,2
Electronic City,770,1,35,2
Electronic City,1020,2,29.45,2
Electronic City,865,2,40,2
Electronic City,800,2,32,2
Electronic City,970,2,34,2
Electronic City,1108,2,63,2
Electronic City,630,1,40.5,1
Electronic City,1100,2,41,2
Electronic City,975,2,32,2
Electronic City,605,1,22,1
Electronic City,1142,2,35,2
Electronic City,1070,2,48,2
Electronic City,1160,2,42,3
Electronic City,1360,2,70,3
Electronic City,635,1,28,1
Electronic City,1128,2,65.45,2
Electronic City,890,2,40,2
Electronic City,1065,2,30.75,2
Electronic City,1127,2,32,2
Electronic City,825,2,35,2
Electronic City,1200,2,40.5,2
Electronic City,1360,2,58,3
Electronic City,1400,2,40.45,3
Electronic City,1065,2,30.76,2
Electronic City,630,1,33.7,1
Electronic City,1025,2,29.61,2
Electronic City,1160,2,42,3
Electronic City,660,1,16.5,2
Electronic City,1400,3,90,3
Electronic City,1287,3,55,3
Electronic City,1258,2,85.5,2
Electronic City,1386,2,85,2
Electronic City,550,1,27,1
Electronic City,1025,2,50,2
Electronic City,1140,2,33.84,2
Electronic City,1070,2,55,2
Electronic City,1342,2,72,2
Electronic City,1275,3,70,3
Electronic City,770,1,38,2
Electronic City,1200,2,34.65,2
Electronic City,1005,2,39.77,2
Electronic City,1110,2,39.9,2
Electronic City,660,1,23,2
Electronic City,1644,3,92.59,3
Electronic City,1250,2,62,2
Electronic City,1020,2,30.27,2
Electronic City,1025,2,29.6,2
Electronic City,418,1,12,1
Electronic City,1128,2,64.8,2
Electronic City,1220,2,35.25,3
Electronic City,1220,2,35.23,3
Electronic City,1060,2,55,2
Electronic City,710,1,40.42,1
Electronic City,1000,2,29.95,2
Electronic City,870,2,24,2
Electronic City,1275,3,63.43,3
Electronic City,1518,3,75,3
Electronic City,1090,2,31.48,1
Electronic City,1140,2,32.92,2
Electronic City,1125,2,32.49,2
Electronic City,1060,2,55,2
Electronic City,1200,2,34.66,2
Electronic City,1353,2,75,2
Electronic City,660,1,18,2
Electronic City,1128,2,67,2
Electronic City,1070,2,57,2
Electronic City,1700,3,90,3
Electronic City,1521,2,57.5,3
Electronic City,750,1,35,1
Electronic City,1210,2,55,2
Electronic City,1070,2,60,2
Electronic City,1400,2,40.44,3
Electronic City,1190,2,42,2
Electronic City,880,2,19,2
Electronic City,1150,2,38.08,2
Electronic City,1615,3,97,3
Electronic City,1165,2,33.65,2
Electronic City,1221,2,68,2
Electronic City,970,2,35,2
Electronic City,1500,3,73,3
Electronic City,995,2,48,2
Electronic City,1342,2,90,2
Electronic City,1320,2,38.12,3
Electronic City,1128,2,63.5,2
Electronic City,589,1,29,1
Electronic City,1125,2,28.13,2
Electronic City,825,2,30,2
Electronic City,1575,3,94.5,3
Electronic City,1070,2,48,2
Electronic City,1025,2,54,2
Electronic City,1500,2,70,3
Electronic City,1500,2,64.5,3
Electronic City,1140,2,32.93,2
Electronic City,2093,4,134,4
Electronic City,750,2,19.5,2
Electronic City,1355,2,73,2
Electronic City,1360,2,64.99,3
Electronic City,1060,2,52,2
Electronic City Phase II,1056,2,39.07,2
Electronic City Phase II,1020,2,30.6,2
Electronic City Phase II,1069,2,45,2
Electronic City Phase II,630,1,28.35,1
Electronic City Phase II,1220,2,35.23,3
Electronic City Phase II,1000,2,25,2
Electronic City Phase II,1090,2,28.34,2
Electronic City Phase II,2225,4,98.88,4
Electronic City Phase II,1400,2,40.43,3
Electronic City Phase II,775,2,38,2
Electronic City Phase II,1266,2,59,2
Electronic City Phase II,1000,2,28.88,2
Electronic City Phase II,1320,2,38.13,3
Electronic City Phase II,1220,3,35.23,3
Electronic City Phase II,972,2,44,2
Electronic City Phase II,1400,2,40.43,3
Electronic City Phase II,1031,2,55,2
Electronic City Phase II,1003,2,40.6,2
Electronic City Phase II,1031,2,56.35,2
Electronic City Phase II,1320,2,38.12,3
Electronic City Phase II,1395,2,62.78,3
Electronic City Phase II,1160,2,33.5,2
Electronic City Phase II,1065,2,30.75,2
Electronic City Phase II,1219,2,61.25,2
Electronic City Phase II,1400,2,41.58,3
Electronic City Phase II,1000,2,28.88,2
Electronic City Phase II,1790,3,100,3
Electronic City Phase II,769,2,40,2
Electronic City Phase II,1400,2,40.43,3
Electronic City Phase II,900,2,32.5,2
Electronic City Phase II,1329,2,41,3
Electronic City Phase II,1220,3,35.23,3
Electronic City Phase II,993,2,50,3
Electronic City Phase II,1418,3,52.47,3
Electronic City Phase II,1070,2,45,2
Electronic City Phase II,1310,2,32.75,3
Electronic City Phase II,1310,2,37.83,3
Electronic City Phase II,1140,2,33.06,2
Electronic City Phase II,1089,2,32.67,2
Electronic City Phase II,1031,2,55,2
Electronic City Phase II,1253,2,65.8,2
Electronic City Phase II,1400,2,40.44,3
Electronic City Phase II,1160,2,33.5,2
Electronic City Phase II,975,2,45,3
Electronic City Phase II,6000,4,260,4
Electronic City Phase II,1116,2,37,2
Electronic City Phase II,1125,2,29.25,2
Electronic City Phase II,1000,2,28.88,2
Electronic City Phase II,1000,2,28.88,2
Electronic City Phase II,1000,2,28.88,2
Electronic City Phase II,1165,2,30.29,2
Electronic City Phase II,3550,2,167.5,4
Electronic City Phase II,1031,2,53,2
Electronic City Phase II,1611,2,48.33,3
Electronic City Phase II,1065,2,30.88,2
Electronic City Phase II,1220,3,36.6,3
Electronic City Phase II,1549,3,80,3
Electronic City Phase II,1065,2,56.13,2
Electronic City Phase II,1320,2,38.13,3
Electronic City Phase II,920,2,26,2
Electronic City Phase II,1140,2,33.84,2
Electronic City Phase II,1219,2,61.26,2
Electronic City Phase II,1252,2,65,3
Electronic City Phase II,1125,2,32.49,2
Electronic City Phase II,1310,2,37.83,3
Electronic City Phase II,1286,2,69,2
Electronic City Phase II,1220,2,36.21,3
Electronic City Phase II,1140,2,32.92,2
Electronic City Phase II,1116,2,40,2
Electronic City Phase II,1150,3,46,3
Electronic City Phase II,1192,2,47,3
Electronic City Phase II,1502,3,50,3
Electronic City Phase II,1020,2,32,2
Electronic City Phase II,1900,3,97,4
Electronic City Phase II,1020,2,27.43,2
Electronic City Phase II,1025,2,26.65,2
Electronic City Phase II,1020,2,29.45,2
Electronic City Phase II,1000,2,28.88,2
Electronic City Phase II,1310,2,37.84,3
Electronic City Phase II,1140,2,28.5,2
Electronic City Phase II,1125,2,32.49,2
Electronic City Phase II,1200,2,34.65,2
Electronic City Phase II,1160,2,52.2,2
Electronic City Phase II,1244,2,55,2
Electronic City Phase II,1160,2,33.51,2
Electronic City Phase II,1220,3,35.25,3
Electronic City Phase II,1625,2,48.75,3
Electronic City Phase II,972,2,40,2
Electronic City Phase II,1160,2,33.51,2
Electronic City Phase II,1400,2,40.45,3
Electronic City Phase II,1090,2,31.48,2
Electronic City Phase II,1140,2,32.92,2
Electronic City Phase II,650,1,35,1
Electronic City Phase II,1155,2,57,2
Electronic City Phase II,1800,3,92,3
Electronic City Phase II,1300,2,28,2
Electronic City Phase II,1160,2,33.5,2
Electronic City Phase II,1025,2,29.6,2
Electronic City Phase II,829,2,22.8,2
Electronic City Phase II,2187.5,4,105,4
Electronic City Phase II,1252,2,67,2
Electronic City Phase II,1320,2,38.12,3
Electronic City Phase II,1125,2,32.63,2
Electronic City Phase II,1140,2,34,2
Electronic City Phase II,1310,2,37.84,3
Electronic City Phase II,1400,2,40.43,3
Electronic City Phase II,1252,2,65,3
Electronic City Phase II,1135,2,46,2
Electronic City Phase II,1305,3,65,3
Electronic City Phase II,1165,2,33.64,2
Electronic City Phase II,1400,2,40.44,3
Electronic City Phase II,1336,2,50.35,3
Electronic City Phase II,575,1,16.75,1
Electronic City Phase II,925,2,49.82,3
Electronic City Phase II,1065,2,30.76,2
Electronic City Phase II,1065,2,30.75,2
Electronic City Phase II,1140,2,33.06,2
Electronic City Phase II,911,2,26.5,2
Electronic City Phase II,1200,2,34.65,2
Electronic City Phase II,1031,2,54.48,2
Electronic City Phase II,1310,2,37.83,3
Electronic City Phase II,1651,3,49.53,3
Electronics City Phase 1,1070,2,45.5,2
Electronics City Phase 1,1475,3,78.29,3
Electronics City Phase 1,1490,3,78.8,3
Electronics City Phase 1,1113.27,2,53,2
Electronics City Phase 1,1490,3,84,3
Electronics City Phase 1,1175,2,51.47,2
Electronics City Phase 1,1160,2,52,2
Electronics City Phase 1,920,2,33,2
Electronics City Phase 1,1750,3,84,3
Electronics City Phase 1,1350,3,55,3
Electronics City Phase 1,940,2,40,2
Electronics City Phase 1,1015,2,56,2
Electronics City Phase 1,1595,3,75,3
Electronics City Phase 1,1515,2,80.91,3
Electronics City Phase 1,995,2,46,2
Electronics City Phase 1,1555,2,82,3
Electronics City Phase 1,1340,2,75,2
Electronics City Phase 1,1124,2,55,3
Electronics City Phase 1,1175,2,57,2
Electronics City Phase 1,755,1,42.41,1
Electronics City Phase 1,580,1,27,1
Electronics City Phase 1,940,2,49,2
Electronics City Phase 1,1335,2,67,2
Electronics City Phase 1,1113.12,2,55,2
Electronics City Phase 1,995,2,42,2
Electronics City Phase 1,1350,3,71,3
Electronics City Phase 1,1445,2,56,3
Electronics City Phase 1,995,2,49.8,2
Electronics City Phase 1,635,1,26,1
Electronics City Phase 1,1190,2,68,2
Electronics City Phase 1,1085,2,46,2
Electronics City Phase 1,1450,3,72.54,3
Electronics City Phase 1,360,1,16.9,1
Electronics City Phase 1,638,1,32,1
Electronics City Phase 1,1175,2,64.98,2
Electronics City Phase 1,585,1,21,1
Electronics City Phase 1,1200,2,59.76,2
Electronics City Phase 1,1145,2,54,2
Electronics City Phase 1,1125,2,65,2
Electronics City Phase 1,1522.5,2,60.75,3
Electronics City Phase 1,1550,2,82,3
Electronics City Phase 1,1175,2,50,2
Electronics City Phase 1,865,2,40,2
Electronics City Phase 1,1450,3,70,3
Electronics City Phase 1,1450,2,63.51,3
Electronics City Phase 1,1450,3,58,3
Electronics City Phase 1,1800,3,93,3
Electronics City Phase 1,1314,2,60,2
Electronics City Phase 1,1170,2,62,2
Electronics City Phase 1,1450,3,79,3
Electronics City Phase 1,940,2,48,2
Electronics City Phase 1,940,2,44,2
Electronics City Phase 1,1300,2,67,2
Electronics City Phase 1,1028,2,51,2
Electronics City Phase 1,1080,2,46,2
Electronics City Phase 1,1205,2,60,2
Electronics City Phase 1,1900,3,85,3
Electronics City Phase 1,1305,2,67,2
Electronics City Phase 1,755,1,30.12,1
Electronics City Phase 1,1175,2,60,2
Frazer Town,1700,3,180,3
Frazer Town,1305,3,95.45,3
Frazer Town,1870,3,185,3
Frazer Town,1750,3,150,3
Frazer Town,4850,6,385,4
Frazer Town,2000,3,200,3
Frazer Town,3500,4,330,3
Frazer Town,2350,4,285,3
Frazer Town,1550,2,140,2
Frazer Town,1900,4,145,3
Frazer Town,2560,3,265,3
Frazer Town,2400,3,260,3
Frazer Town,2560,3,288,3
Frazer Town,3436,5,341,4
Frazer Town,4856,5,410,4
Frazer Town,1315,2,140,2
Frazer Town,1706,3,154,3
Frazer Town,2079,3,220,3
Frazer Town,3435,2,341,4
Frazer Town,3436,5,345,4
Frazer Town,3100,3,400,3
Frazer Town,5400,3,400,3
Frazer Town,1180,2,105,2
Frazer Town,2900,4,325,4
Frazer Town,1870,3,180,3
Frazer Town,896,1,100,1
Frazer Town,1420,2,120,2
GM Palaya,1820,2,86,3
GM Palaya,1225,2,47,2
GM Palaya,1140,2,48.95,2
GM Palaya,1315,2,65,3
GM Palaya,1315,3,65,3
GM Palaya,1315,3,64,3
GM Palaya,1735,3,70,3
GM Palaya,1643,2,70,3
Garudachar Palya,1325,2,60.8,3
Garudachar Palya,1060,2,48.7,2
Garudachar Palya,1150,2,52.75,2
Garudachar Palya,1295,2,59.5,3
Garudachar Palya,1320,2,60.6,3
Garudachar Palya,1295,2,59.5,3
Garudachar Palya,1150,2,52.8,2
Garudachar Palya,1150,2,52.8,2
Garudachar Palya,1060,2,48.5,2
Garudachar Palya,1150,2,52.5,2
Garudachar Palya,1325,2,60.8,3
Garudachar Palya,1060,2,48.66,2
Garudachar Palya,1150,2,52,2
Garudachar Palya,1154,2,51.8,2
Garudachar Palya,1325,2,60,3
Giri Nagar,2400,4,400,4
Giri Nagar,1800,3,252,3
Giri Nagar,1350,3,240,3
Giri Nagar,2400,4,400,4
Giri Nagar,3000,4,375,6
Giri Nagar,2400,6,400,6
Giri Nagar,4000,3,750,4
Gollarapalya Hosahalli,861,2,34.5,2
Gollarapalya Hosahalli,1408,3,62,3
Gollarapalya Hosahalli,861,2,34.5,2
Gollarapalya Hosahalli,1318,3,54,3
Gollarapalya Hosahalli,861,2,36.5,2
Gollarapalya Hosahalli,1320,3,60,3
Gollarapalya Hosahalli,1345,3,60,3
Gollarapalya Hosahalli,1905,3,86,4
Gollarapalya Hosahalli,1318,3,56,3
Gollarapalya Hosahalli,1129,2,50,2
Gottigere,1100,2,40,2
Gottigere,967,2,45,2
Gottigere,1618,3,82.5,3
Gottigere,1222,2,63,2
Gottigere,1600,2,55,3
Gottigere,1300,3,65,3
Gottigere,950,2,38,2
Gottigere,1153,2,48.5,2
Gottigere,812,1,26,1
Gottigere,2000,4,82,4
Gottigere,1460,2,65,3
Gottigere,1500,3,70,3
Gottigere,1621,3,72,3
Gottigere,812,1,26,1
Gottigere,990,2,40,2
Gottigere,1235,2,63,2
Gottigere,1385,3,64,3
Gottigere,1000,2,35,2
Gottigere,1010,2,35,2
Gottigere,1385,2,50,3
Gottigere,1425,2,47,3
Gottigere,1435,2,62,3
Gottigere,945,2,45,2
Gottigere,1400,2,50,3
Gottigere,2500,3,120,4
Gottigere,1230,2,52,3
Gottigere,1120,2,50,2
Gottigere,1500,3,63,3
Gottigere,1200,2,40,2
Gottigere,1280,2,61,2
Gottigere,1205,2,56.58,2
Gottigere,1170,2,40,2
Gottigere,3000,3,132,4
Gottigere,1613,3,72,3
Gottigere,1110,2,36.25,2
Gottigere,1245,2,59,2
Gottigere,1200,2,50,2
Green Glen Layout,1670,3,120,3
Green Glen Layout,3250,4,230,4
Green Glen Layout,1776.42,3,105,3
Green Glen Layout,3250,4,230,4
Green Glen Layout,940,2,56.8,2
Green Glen Layout,1075,2,60,2
Green Glen Layout,1715,3,115,3
Green Glen Layout,1751,2,115,3
Green Glen Layout,1750,3,130,3
Green Glen Layout,1530,3,105,3
Green Glen Layout,1752,3,105,3
Green Glen Layout,1680,4,95,3
Green Glen Layout,1728,3,125,3
Green Glen Layout,1645,3,110,3
Green Glen Layout,1517,3,100,3
Green Glen Layout,3150,4,218,4
Green Glen Layout,3270,4,205,4
Green Glen Layout,1750,3,120,3
Green Glen Layout,1751,3,115,3
Green Glen Layout,1750,3,105,3
Green Glen Layout,1885,3,135,3
Green Glen Layout,1715,3,120,3
Green Glen Layout,1623.29,2,105,3
Green Glen Layout,1715,3,115,3
Green Glen Layout,1715,3,105,3
Green Glen Layout,1600,3,105,3
Green Glen Layout,1717,3,125,3
Green Glen Layout,1250,2,75,2
Green Glen Layout,1715,3,112,3
Gubbalala,1470,2,82,3
Gubbalala,1745,3,104,3
Gubbalala,1745,3,115,3
Gubbalala,1745,3,110,3
Gubbalala,1650,3,71,3
Gubbalala,2570,4,141,5
Gubbalala,1205,2,70,2
Gubbalala,1435,2,80,3
Gubbalala,1475,2,80,2
Gubbalala,2000,4,85,4
Gubbalala,1100,2,49.5,2
Gubbalala,1060,2,46,2
Gubbalala,2000,3,125,3
Gubbalala,4000,5,195,4
Gunjur,1140,2,43,2
Gunjur,1356,2,66,3
Gunjur,1600,3,75,3
Gunjur,2000,3,95,4
Gunjur,1140,2,49.11,2
Gunjur,1195,2,44,2
Gunjur,1190,2,40,2
Gunjur,1457,2,60,2
Gunjur,1080,2,41,2
Gunjur,2132,3,80,3
Gunjur,1800,3,70,3
Gunjur,1175,2,43.48,2
Gunjur,1362,3,62.63,3
Gunjur,1071,2,51,2
Gunjur,1063,2,40,2
Gunjur,1235,2,52.76,2
Gunjur,1362,3,62.63,3
Gunjur,1362,3,62.63,3
Gunjur,1588,2,90,3
Gunjur,1235,2,44.5,2
Gunjur,1457,2,60,2
HAL 2nd Stage,1490,2,300,3
HAL 2nd Stage,600,3,145,2
HAL 2nd Stage,2700,3,500,3
HAL 2nd Stage,2040,4,500,5
HBR Layout,2800,2,200,3
HBR Layout,1722,3,95,3
HBR Layout,1200,4,120,4
HBR Layout,1200,2,60,2
HBR Layout,1004,2,49,2
HBR Layout,1783,3,125,3
HBR Layout,1656,3,90,3
HBR Layout,1089,2,60,2
HBR Layout,1700,3,110,3
HBR Layout,1198,2,65,2
HBR Layout,1200,4,115,4
HBR Layout,1200,2,120,2
HBR Layout,1832,3,160,3
HRBR Layout,1374,2,95,2
HRBR Layout,1440,2,98,2
HRBR Layout,1567,3,90,3
HRBR Layout,2800,3,250,3
HRBR Layout,1210,2,75,2
HRBR Layout,1265,2,78,2
HRBR Layout,1170,2,75,2
HRBR Layout,1335,2,87,3
HRBR Layout,1900,3,90,4
HRBR Layout,1625,3,120,3
HRBR Layout,1301,2,120,2
HRBR Layout,1145,2,68.5,2
HRBR Layout,1300,2,90,2
HSR Layout,1400,3,56,3
HSR Layout,1372,2,68,2
HSR Layout,1430,2,65,3
HSR Layout,1475,3,75,3
HSR Layout,1467,2,55,2
HSR Layout,1140,2,46,2
HSR Layout,1372,2,61,2
HSR Layout,1750,3,95,3
HSR Layout,2424,3,90,3
HSR Layout,1027,2,44,2
HSR Layout,1650,3,110,3
HSR Layout,1140,2,46,2
HSR Layout,1372,2,61,2
HSR Layout,1140,2,46,2
HSR Layout,1185,2,60,2
HSR Layout,1127,2,68,2
HSR Layout,1600,2,115,3
HSR Layout,1145,2,48,2
HSR Layout,1009,2,56,2
HSR Layout,1300,2,98,2
HSR Layout,2400,3,88,3
HSR Layout,1140,2,46,2
HSR Layout,1126,2,69,2
HSR Layout,1360,2,53,3
HSR Layout,1140,2,46,2
HSR Layout,1145,2,46,2
HSR Layout,1142,2,65,2
HSR Layout,1145,2,46,2
HSR Layout,1844,3,95,3
HSR Layout,1203,2,72,2
HSR Layout,1140,2,46,2
HSR Layout,4200,5,245,5
HSR Layout,1140,2,46,2
HSR Layout,1145,2,46,2
HSR Layout,1009,2,56,2
HSR Layout,1145,2,46,2
HSR Layout,1100,2,44,2
HSR Layout,1203,2,60,2
HSR Layout,1120,2,70,2
HSR Layout,1140,2,46,2
HSR Layout,1289,2,70,2
HSR Layout,1844,3,89,3
HSR Layout,1203,2,60,2
HSR Layout,1140,2,46,2
Haralur Road,1240,2,70,2
Haralur Road,1027,2,44,2
Haralur Road,1464,3,56,3
Haralur Road,2805,5,154,4
Haralur Road,1194,2,47,2
Haralur Road,1202,2,53,2
Haralur Road,1056,2,61,2
Haralur Road,1464,3,56,3
Haralur Road,1810,3,100,3
Haralur Road,1194,2,46,2
Haralur Road,2805,4,154,4
Haralur Road,1225,2,67.38,2
Haralur Road,1243,2,46,2
Haralur Road,1027,2,44,2
Haralur Road,1920,3,115,3
Haralur Road,1875,3,110,3
Haralur Road,1194,2,47,2
Haralur Road,1140,2,43,2
Haralur Road,1027,2,44,2
Haralur Road,1194,2,46,2
Haralur Road,2017,3,125,3
